method,size,alpha,modes_mean,modes_std,mean_top_1000_R_mean,mean_top_1000_R_std,spearman_corr_test_mean,spearman_corr_test_std,loss_mean,loss_std,forward_policy_entropy_eval_mean,forward_policy_entropy_eval_std
db_gfn,large,0.5,0.0,0.0,58086.53540664063,5216.945176467452,0.984226286472507,0.0038401134880956807,0.008122601313516498,0.0061856569362105825,3.977458345890045,0.0010081523270504284
db_gfn,large,0.9,355.8,319.8401163081329,624721.7718625,55336.88456316754,0.9445149521109444,0.004376867133770446,0.011685476452112199,0.0012174097309325326,3.9760446518659593,0.003238589640661886
db_gfn,medium,0.5,0.0,0.0,110427.3801921875,5337.251185679054,0.992868496665813,0.004152088661267429,0.003199827112257481,0.0016539159314614936,3.8098510175943376,0.001784663675789156
db_gfn,medium,0.9,31.4,34.06317659878479,552020.09113125,59210.23423680885,0.9726776333444989,0.005111517500529289,0.007677775993943215,0.001180623589544214,3.8101321339607237,0.0006951495706736396
db_gfn,small,0.5,24.8,2.588435821108957,0.1844665496200323,0.0012191927797691306,0.9986060099978585,0.0003611284065194787,0.0007033930451143533,0.0003398709115712594,2.937478756904602,0.0019042690255298856
db_gfn,small,0.9,55.8,13.917614738165446,0.2043800051867962,0.00614617626659826,0.9952735863682072,0.0005185324267589284,0.0019104547332972287,0.0003066060895048265,2.9365688979625704,0.0014133149263204443
fl_db_gfn,large,0.5,247.6,147.16759154107265,593090.2406125,67865.24176786706,0.9023042567659392,0.01938847640755136,0.001058300957083702,0.0002936987194363202,3.9533178240060804,0.004665213995278786
fl_db_gfn,large,0.9,2239.2,169.79899881919215,768544.6010625,6904.368876756168,0.8471800559070207,0.01798345091174442,0.0009056687471456826,0.00014344685943412639,3.9590150624513627,0.006460027947264513
fl_db_gfn,medium,0.5,14.2,10.059821071967434,507462.73498125,47471.44951084297,0.9679817526163363,0.007726713822171202,0.0006310467724688351,0.00012486468283007688,3.8091561257839204,0.007513333049625062
fl_db_gfn,medium,0.9,118.6,45.87809935034362,638688.0967875,24711.41350155828,0.9349651253401448,0.012630779818780472,0.0008133672527037561,0.00021419344651397006,3.8100965827703477,0.007847406066555951
fl_db_gfn,small,0.5,83.0,2.449489742783179,0.21803791280686857,0.0005828101265576135,0.9919987436129253,0.00244790713805702,0.0003246922278776765,5.3075092090584726e-05,2.9507910311222076,0.00406864349843898
fl_db_gfn,small,0.9,88.6,2.1908902300206643,0.21995565728545188,0.002010936627553644,0.9746676283437802,0.006590726245567705,0.0004059369501192123,0.00010099855929375963,2.951808285713196,0.002498089857915824
fl_subtb_gfn,large,0.1,0.0,0.0,62636.24358244085,28039.016171054976,0.9329607170531331,0.01469914617237113,0.4516316056251526,0.15916582649405325,3.960486814379692,0.004205010003529125
fl_subtb_gfn,large,0.2,0.2,0.447213595499958,126822.86031710151,32593.365909757544,0.9473860808974438,0.03037109873757345,0.43451233506202697,0.20801673400368545,3.9588008880615235,0.012967088199517356
fl_subtb_gfn,large,0.3,5.0,3.391164991562634,291808.96215530083,44541.14266099201,0.9357966012448339,0.020727280575573492,0.6131516098976135,0.4494108636676392,3.919776827096939,0.011100969135215487
fl_subtb_gfn,large,0.4,16.2,13.736811857195978,405799.7293442524,43742.49959969619,0.9148831927351638,0.02145585901590012,0.5215161561965942,0.16456582352515156,3.867303895950317,0.008741978073437299
fl_subtb_gfn,large,0.5,118.6,84.81332442488032,542496.7441306754,54447.875085819804,0.9008822388238091,0.029231610949421637,0.44341340065002444,0.13049212797325707,3.8469233572483064,0.016700933148510944
fl_subtb_gfn,large,0.6,394.4,253.59081213640212,635916.5150185677,57064.74991462746,0.8733479352517268,0.03146965515036609,0.4298696219921112,0.15099572077568182,3.8371180564165117,0.011466695352402391
fl_subtb_gfn,large,0.7,954.6,1447.5825710473307,637434.3037370873,123464.20775956572,0.8082257989928212,0.02464281191052766,0.3285166919231415,0.06878447286438565,3.8254594832658766,0.01589736076287634
fl_subtb_gfn,large,0.8,228.8,295.9572604279206,560046.2845050308,107563.71585636903,0.656855418065737,0.029708475628620754,0.34730632305145265,0.07582419573632829,3.6622359454631805,0.0164960660181137
fl_subtb_gfn,large,0.9,144.6,191.05313397063134,477681.7384329077,145658.43334506702,0.5397116662128875,0.029004165019745943,0.5407330334186554,0.14146276120951168,3.546150007843971,0.014797959014982247
fl_subtb_gfn,medium,0.1,0.0,0.0,171446.42702956987,85092.0563465694,0.9723571009645176,0.004071694693665449,0.10681288540363312,0.036150552471298496,3.7977890074253082,0.007212266412400757
fl_subtb_gfn,medium,0.2,0.0,0.0,295866.4200820097,33545.31624365822,0.9699478916723152,0.01257162994518989,0.1442464217543602,0.05630580638055824,3.801709753274918,0.007458643947092977
fl_subtb_gfn,medium,0.3,0.2,0.4472135954999579,371441.2429195191,19952.45546646961,0.9811695475423312,0.009580062984781732,0.25207398533821107,0.13283906536445733,3.77192208468914,0.03808181271837699
fl_subtb_gfn,medium,0.4,5.8,3.271085446759225,478237.1099726862,23791.332859292073,0.9882014723537715,0.0036555702033531034,0.19722295701503753,0.12198144056312223,3.7361720889806747,0.017305902578834916
fl_subtb_gfn,medium,0.5,16.0,8.602325267042627,531806.1657169855,14738.44709798249,0.9723053306070353,0.0058217092386444675,0.18120698928833007,0.034773550554771944,3.7134677708148955,0.00817623419149656
fl_subtb_gfn,medium,0.6,32.6,8.414273587185052,574079.2808945928,20232.022684386826,0.9666100547558788,0.01291824723637166,0.17686085104942323,0.07968339385488972,3.7112961769104005,0.004177811959566844
fl_subtb_gfn,medium,0.7,88.0,50.52722038663912,620631.5296588788,27869.69203017704,0.9440639774282845,0.007763090392741119,0.1449038118124008,0.027794868193551068,3.733859804272652,0.003803258522031302
fl_subtb_gfn,medium,0.8,258.6,296.32127834497476,655796.0508125054,68334.68959847167,0.7754044777928936,0.0312172357786298,0.2776774734258652,0.1870973200616919,3.6423759192228315,0.023079131050194827
fl_subtb_gfn,medium,0.9,11.6,9.316651759081692,517605.00653550745,41619.56048703556,0.6564962428810557,0.014008672219007926,0.2756862074136734,0.16097523893198581,3.490790843963623,0.06921951728306402
fl_subtb_gfn,small,0.1,60.4,9.838699100999074,0.20368062960505484,0.005843477177866287,0.9879178455417795,0.0033474653927220072,0.009753911942243575,0.004347380669343349,2.943679708242416,0.0032471121133890927
fl_subtb_gfn,small,0.2,72.8,12.357184145265457,0.21313952628970148,0.004680045536777665,0.9891022918943131,0.0038827707201239785,0.019180026836693287,0.015561291268329615,2.942985886335373,0.0017634349326511552
fl_subtb_gfn,small,0.3,84.6,9.289779329994875,0.21796642630100252,0.004566150922518776,0.9952647477569834,0.0019265180190042638,0.014361313451081515,0.007508063909018054,2.929413515329361,0.01023511944344807
fl_subtb_gfn,small,0.4,89.4,0.8944271909999163,0.22089076945483685,0.0003364552100901954,0.9957103346739903,0.0021652654858591728,0.014891012012958527,0.004856405200181379,2.9132625281810762,0.009540696149506055
fl_subtb_gfn,small,0.5,89.6,0.8944271909999173,0.22115283660366397,0.0002683592444909315,0.9965851992817957,0.0009475873805664836,0.009786661621183157,0.003547876645870188,2.8911910861730576,0.009495251812556536
fl_subtb_gfn,small,0.6,90.0,0.0,0.22134693241119385,6.659217227364899e-05,0.9907505117855925,0.002418979848762789,0.00842468673363328,0.0034623338036124337,2.8993245154619216,0.00289718424169716
fl_subtb_gfn,small,0.7,89.8,0.44721359549995715,0.22110393059551714,0.0003111242953338023,0.9656298767142484,0.0043627965177100375,0.010477080196142196,0.0016366822583375384,2.92038094997406,0.0016761864353322094
fl_subtb_gfn,small,0.8,52.2,20.0922870773837,0.20549457599520685,0.008176693373934946,0.8595623674229692,0.020940797755299317,0.016395576111972333,0.004730104922574847,2.923550173640251,0.003325265226983058
fl_subtb_gfn,small,0.9,30.0,26.43860813280457,0.18612602105736734,0.01351601950237984,0.7894095726527884,0.02981992547262396,0.014827748015522956,0.004091983784481896,2.9098184198141097,0.008309052909272136
subtb_gfn,large,0.1,3.2,4.541169697580374,104881.80405837344,114063.77593143076,0.93023768039284,0.025518926142347038,0.687197957932949,0.6147296784246474,3.9403312861919404,0.06286906710370033
subtb_gfn,large,0.2,2.1,3.5103022978402048,106316.62067698294,109977.63435983546,0.9256971854529835,0.030473838089842335,0.6501944020390511,0.5921433965237416,3.9412616774439813,0.05395419180456262
subtb_gfn,large,0.3,2.5,3.3747427885527648,122194.62918791168,124448.90962610274,0.9313470771483662,0.03420380351118986,0.6122103720903397,0.37317550199823935,3.941731333732605,0.049108826737853696
subtb_gfn,large,0.4,23.4,48.16914641829007,235638.29269593582,222445.161966241,0.9412871620715185,0.020546046827963432,0.5729082584381103,0.21253649622223011,3.9448335856199264,0.04193741209027672
subtb_gfn,large,0.5,95.1,105.36333960791738,321775.6691391787,283804.019302296,0.9584943126597313,0.017164524523576044,0.43571773171424866,0.25895958927359025,3.9418090254068376,0.0460768809999049
subtb_gfn,large,0.6,535.7,591.1038731804157,416886.36856558913,334737.61835014756,0.9440593555938342,0.03368875236967651,0.3499311164021492,0.1827033573747294,3.9472542077302935,0.044315920646804
subtb_gfn,large,0.7,1159.6,1472.092705414076,466126.8776910577,325695.15307637403,0.9470514781378583,0.02843774540708809,0.23259979337453843,0.06263179198760534,3.9475424543023108,0.04636055646172956
subtb_gfn,large,0.8,1905.7,2370.5526805180075,489296.06800077576,355296.8604909485,0.9425544889568102,0.03000624769185787,0.22694730907678604,0.0632152864183647,3.950575755536556,0.043176844352410405
subtb_gfn,large,0.9,1883.9,2398.4555887301963,482682.36142125167,339320.3262961643,0.9394131782282935,0.02540639226537304,0.4874504148960114,0.13232450093193107,3.9548066690564156,0.04250376573435907
subtb_gfn,medium,0.1,0.2,0.6324555320336759,145884.19290808722,132492.8163684783,0.9832125900649421,0.011159117745571805,0.19872650355100632,0.09862914736543334,3.7752642303705217,0.054919177236959674
subtb_gfn,medium,0.2,0.4,0.8432740427115678,175350.61222752946,155442.86728008997,0.9855450521502942,0.00843581285441664,0.17550055161118508,0.10124054408011104,3.7701104536652563,0.056809911273249025
subtb_gfn,medium,0.3,0.9,1.1972189997378648,189655.85537887033,169245.8438966044,0.9815506330064523,0.010832749465633968,0.23067333102226256,0.11187091963585097,3.7683190777897835,0.054532019033525975
subtb_gfn,medium,0.4,3.8,4.391911757866827,262709.2090201397,222991.41854955995,0.97953051882333,0.015104260044899034,0.21621699929237365,0.1209382990651727,3.7710681021213532,0.05064318335622793
subtb_gfn,medium,0.5,33.0,35.4964786985977,384324.9060301845,237340.25495689252,0.9782369627907951,0.012022062194940121,0.16776917427778243,0.040290540348810994,3.769866260886192,0.04984370828795698
subtb_gfn,medium,0.6,32.5,35.753010751232935,406186.4466351414,220196.2122593673,0.9688418073763811,0.022017682193324777,0.12206016555428505,0.04576033506531846,3.774527071416378,0.04940316773324774
subtb_gfn,medium,0.7,143.2,153.89159243513672,509760.31746380555,191002.79996430423,0.9681036009527743,0.022434515313694576,0.12366722375154496,0.029109537963984668,3.7720289409160612,0.05189399602479793
