objective,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
SET-SubTB-FL0-SMALL,0.989±0.006,0.991±0.003,0.994±0.001,0.994±0.005,0.992±0.005,0.997±0.002,0.997±0.000,0.997±0.001,0.997±0.001
SET-SubTB-FL0-MEDIUM,0.974±0.009,0.979±0.008,0.973±0.008,0.969±0.015,0.968±0.007,0.950±0.015,0.948±0.010,0.964±0.015,0.956±0.013
SET-SubTB-FL0-LARGE,0.929±0.034,0.928±0.044,0.916±0.043,0.924±0.009,0.944±0.008,0.921±0.030,0.922±0.015,0.916±0.017,0.918±0.015
SET-SubTB-FL1-LARGE,0.933±0.015,0.947±0.030,0.936±0.021,0.915±0.021,0.901±0.029,0.873±0.031,0.808±0.025,0.657±0.030,0.540±0.029
