objective,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9
SET-SubTB-FL0-SMALL,22.20±1.64,22.40±4.39,21.60±3.85,19.60±3.21,20.00±4.06,27.40±3.51,30.60±7.64,34.20±8.07,32.00±10.98
SET-SubTB-FL0-MEDIUM,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00,0.40±0.89,0.20±0.45,1.40±1.14,5.20±6.76
SET-SubTB-FL0-LARGE,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00,0.00±0.00,2.00±4.47,0.00±0.00
SET-SubTB-FL1-LARGE,0.00±0.00,0.20±0.45,5.00±3.39,16.20±13.74,118.60±84.81,394.40±253.59,954.60±1447.58,228.80±295.96,144.60±191.05
