benchmark,variant,method,fl,size,alpha,seed,modes,spearman,run_name
7-mols,db,db,False,,0.9,2,19.0,0.4630531922006037,m(db)_a(0.9)_s(2)_v(False)
7-mols,fl_db,db,True,,0.6,2,12.0,-0.5398210527126228,m(fl_db)_a(0.6)_s(2)_v(False)
7-mols,subtb,subtb,False,,0.9,2,18.0,0.6174669865425214,m(subtb)_a(0.9)_s(2)_v(False)
7-mols,subtb,subtb,False,,0.8,1,21.0,0.6101781284990596,m(subtb)_a(0.8)_s(1)_v(False)
7-mols,subtb,subtb,False,,0.4,0,20.0,0.6546657829433661,m(subtb)_a(0.4)_s(0)_v(False)
7-mols,fl_db,db,True,,0.5,3,8.0,-0.5823907378351074,m(fl_db)_a(0.5)_s(3)_v(False)
7-mols,fl_db,db,True,,0.6,4,7.0,-0.552216448721398,m(fl_db)_a(0.6)_s(4)_v(False)
7-mols,fl_db,db,True,,0.8,4,29.0,-0.5847871208106208,m(fl_db)_a(0.8)_s(4)_v(False)
7-mols,fl_db,db,True,,0.6,1,13.0,-0.5315624347299679,m(fl_db)_a(0.6)_s(1)_v(False)
7-mols,subtb,subtb,False,,0.5,4,25.0,0.5875866366629242,m(subtb)_a(0.5)_s(4)_v(False)
7-mols,subtb,subtb,False,,0.1,2,16.0,0.6177297160123939,m(subtb)_a(0.1)_s(2)_v(False)
7-mols,fl_db,db,True,,0.7,3,17.0,-0.551582728378686,m(fl_db)_a(0.7)_s(3)_v(False)
7-mols,subtb,subtb,False,,0.5,3,25.0,0.44259847484653303,m(subtb)_a(0.5)_s(3)_v(False)
7-mols,fl_subtb,subtb,True,,0.2,1,10.0,-0.5348848154636902,m(fl_subtb)_a(0.2)_s(1)_v(False)
7-mols,fl_db,db,True,,0.8,2,19.0,-0.5293761299467332,m(fl_db)_a(0.8)_s(2)_v(False)
7-mols,subtb,subtb,False,,0.2,4,15.0,0.6044749979540707,m(subtb)_a(0.2)_s(4)_v(False)
7-mols,db,db,False,,0.4,1,10.0,0.4669402264740968,m(db)_a(0.4)_s(1)_v(False)
7-mols,fl_db,db,True,,0.1,3,4.0,-0.5725849541682766,m(fl_db)_a(0.1)_s(3)_v(False)
7-mols,fl_db,db,True,,0.9,0,24.0,-0.5674672709118141,m(fl_db)_a(0.9)_s(0)_v(False)
7-mols,subtb,subtb,False,,0.1,4,29.0,0.5599833025436638,m(subtb)_a(0.1)_s(4)_v(False)
7-mols,subtb,subtb,False,,0.4,4,31.0,0.6023375061431363,m(subtb)_a(0.4)_s(4)_v(False)
7-mols,fl_subtb,subtb,True,,0.1,0,4.0,-0.6460237992253861,m(fl_subtb)_a(0.1)_s(0)_v(False)
7-mols,fl_db,db,True,,0.2,4,6.0,-0.5957922998559743,m(fl_db)_a(0.2)_s(4)_v(False)
7-mols,db,db,False,,0.6,2,13.0,0.541702851920907,m(db)_a(0.6)_s(2)_v(False)
7-mols,subtb,subtb,False,,0.4,1,16.0,0.6027231696583844,m(subtb)_a(0.4)_s(1)_v(False)
7-mols,fl_db,db,True,,0.7,2,23.0,-0.5307853388813679,m(fl_db)_a(0.7)_s(2)_v(False)
7-mols,fl_db,db,True,,0.1,1,6.0,-0.6007663457978382,m(fl_db)_a(0.1)_s(1)_v(False)
7-mols,db,db,False,,0.9,3,13.0,0.4601334984898967,m(db)_a(0.9)_s(3)_v(False)
7-mols,fl_db,db,True,,0.3,0,11.0,-0.5998587050802309,m(fl_db)_a(0.3)_s(0)_v(False)
