benchmark,variant,method,fl,size,alpha,n_runs,modes_mean,modes_std,modes_min,modes_max,spearman_mean,spearman_std,spearman_min,spearman_max
7-mols,db,db,False,,0.100000,5,5.400000,0.894427,4.000000,6.000000,0.503272,0.018593,0.478584,0.519770
7-mols,db,db,False,,0.200000,5,10.000000,4.183300,5.000000,14.000000,0.365586,0.289717,-0.148219,0.531694
7-mols,db,db,False,,0.300000,5,11.200000,4.764452,4.000000,17.000000,0.536543,0.023753,0.507267,0.573309
7-mols,db,db,False,,0.400000,5,11.400000,3.209361,9.000000,17.000000,0.494090,0.040293,0.453523,0.552451
7-mols,db,db,False,,0.500000,5,10.000000,3.082207,6.000000,13.000000,0.525831,0.016046,0.512437,0.551808
7-mols,db,db,False,,0.600000,5,14.400000,2.408319,11.000000,17.000000,0.500244,0.046105,0.429342,0.541703
7-mols,db,db,False,,0.700000,5,11.800000,3.962323,7.000000,17.000000,0.529886,0.055790,0.453208,0.606864
7-mols,db,db,False,,0.800000,5,11.000000,4.898979,6.000000,18.000000,0.489681,0.078490,0.390093,0.608559
7-mols,db,db,False,,0.900000,5,13.400000,3.209361,11.000000,19.000000,0.486514,0.029187,0.460133,0.532927
7-mols,fl_db,db,True,,0.100000,5,5.800000,1.483240,4.000000,8.000000,-0.579471,0.012383,-0.600766,-0.569322
7-mols,fl_db,db,True,,0.200000,5,5.400000,1.140175,4.000000,7.000000,-0.577061,0.020351,-0.597634,-0.554872
7-mols,fl_db,db,True,,0.300000,5,6.400000,3.130495,3.000000,11.000000,-0.555627,0.026269,-0.599859,-0.529868
7-mols,fl_db,db,True,,0.400000,5,8.600000,1.816590,6.000000,11.000000,-0.560801,0.039151,-0.611320,-0.508709
7-mols,fl_db,db,True,,0.500000,5,9.000000,1.581139,7.000000,11.000000,-0.563385,0.046033,-0.613014,-0.493242
7-mols,fl_db,db,True,,0.600000,5,13.200000,4.658326,7.000000,20.000000,-0.546652,0.035884,-0.603366,-0.506293
7-mols,fl_db,db,True,,0.700000,5,14.600000,6.066300,7.000000,23.000000,-0.554912,0.020989,-0.580218,-0.530785
7-mols,fl_db,db,True,,0.800000,5,24.000000,3.605551,19.000000,29.000000,-0.555545,0.020023,-0.584787,-0.529376
7-mols,fl_db,db,True,,0.900000,5,25.000000,4.358899,20.000000,30.000000,-0.559709,0.034851,-0.594702,-0.510956
7-mols,fl_subtb,subtb,True,,0.100000,5,8.400000,3.209361,4.000000,13.000000,-0.604576,0.025932,-0.646024,-0.577487
7-mols,fl_subtb,subtb,True,,0.200000,5,11.000000,3.937004,5.000000,15.000000,-0.589111,0.045942,-0.635537,-0.534885
7-mols,fl_subtb,subtb,True,,0.300000,5,12.000000,4.949747,6.000000,18.000000,-0.603146,0.026592,-0.640937,-0.570097
7-mols,fl_subtb,subtb,True,,0.400000,5,12.600000,2.607681,9.000000,16.000000,-0.618753,0.042591,-0.690615,-0.581090
7-mols,fl_subtb,subtb,True,,0.500000,5,16.000000,3.162278,11.000000,19.000000,-0.464037,0.280245,-0.667942,0.028307
7-mols,fl_subtb,subtb,True,,0.600000,5,18.200000,5.310367,12.000000,26.000000,-0.595151,0.041020,-0.639688,-0.541517
7-mols,fl_subtb,subtb,True,,0.700000,5,23.400000,6.618157,14.000000,32.000000,-0.625464,0.060182,-0.671940,-0.535076
7-mols,fl_subtb,subtb,True,,0.800000,5,34.200000,5.674504,26.000000,40.000000,-0.616530,0.010053,-0.627712,-0.602220
7-mols,fl_subtb,subtb,True,,0.900000,5,39.200000,7.049823,32.000000,50.000000,-0.611443,0.041654,-0.671281,-0.567855
7-mols,subtb,subtb,False,,0.100000,5,20.200000,5.630275,15.000000,29.000000,0.578152,0.026474,0.549959,0.617730
7-mols,subtb,subtb,False,,0.200000,5,18.200000,4.494441,12.000000,22.000000,0.566627,0.118237,0.359759,0.651619
7-mols,subtb,subtb,False,,0.300000,5,22.800000,3.768289,19.000000,29.000000,0.605925,0.018324,0.588070,0.635610
7-mols,subtb,subtb,False,,0.400000,5,24.000000,6.442049,16.000000,31.000000,0.606241,0.032855,0.562238,0.654666
7-mols,subtb,subtb,False,,0.500000,5,22.200000,2.774887,19.000000,25.000000,0.566210,0.069375,0.442598,0.603466
7-mols,subtb,subtb,False,,0.600000,5,26.400000,2.302173,24.000000,30.000000,0.586103,0.051369,0.525337,0.635765
7-mols,subtb,subtb,False,,0.700000,5,22.000000,5.431390,15.000000,28.000000,0.613444,0.019488,0.593856,0.644391
