method,k,alpha,modes_mean,modes_std,spearman_corr_test_mean,spearman_corr_test_std,mean_top_1000_R_mean,mean_top_1000_R_std
tb,8,0.2,59.2,0.8366600265340749,0.8115921295740213,0.005451260533500187,2.6428596077476357e-22,2.9487937090005048e-22
tb,8,0.3,59.6,0.5477225575051652,0.8111313277141289,0.0038439785032047145,1.7445002493042505e-22,2.798586167860498e-22
tb,8,0.4,59.4,0.547722557505166,0.8116892859629408,0.0019311361938669665,3.4673335193104905e-23,4.0348216685011275e-23
tb,8,0.5,59.4,0.547722557505166,0.8107904302220523,0.00425806047295498,6.308172065410456e-21,1.4086966025250698e-20
tb,8,0.6,59.6,0.8944271909999153,0.8129487068104264,0.005444767500662511,3.853814512448303e-19,7.660021194939882e-19
tb,8,0.7,58.8,1.0954451150103317,0.8118278473259727,0.0017241122523784411,9.294450207523752e-23,9.944394843530583e-23
tb,8,0.8,57.2,3.7013511046643486,0.8105703367405578,0.002570205955501741,1.040174396134563e-21,1.9547932158218393e-21
tb,8,0.9,52.4,2.966479394838265,0.8109850131416689,0.004222875859412749,1.398377542718865e-23,9.826676481436106e-24
tb,10,0.1,25.8,3.9623225512317894,0.5680191386149742,0.0012330709736336838,2.978358134309601e-25,6.414486272545268e-25
tb,10,0.2,22.4,1.6733200530681511,0.5687351971329788,0.003820581711776999,2.0568610104817917e-26,1.5587722438090086e-26
tb,10,0.3,25.8,3.7013511046643495,0.5682802958364792,0.0031487646475195715,3.382450584855205e-26,2.0709162135638584e-26
tb,10,0.4,23.8,2.3874672772626644,0.5659027641682183,0.00478475784407127,1.0595851487895118e-25,9.008738017551673e-26
tb,10,0.5,25.4,4.827007354458868,0.5690091585113691,0.0031155514335697706,3.436899533321704e-25,6.315035583616714e-25
tb,10,0.6,26.0,3.1622776601683795,0.567882903165996,0.00226890845693648,1.5620146008170837e-23,3.476947441916703e-23
tb,10,0.7,28.2,3.492849839314596,0.5678174759844746,0.0037542135277192847,3.436959120380493e-26,1.9712893912852118e-26
tb,10,0.8,24.6,3.361547262794322,0.567588128510075,0.0030918499890196073,3.1511475032210847e-25,6.558170020670269e-25
tb,10,0.9,20.8,4.8166378315169185,0.5688999123517083,0.0027817507924501076,3.1493460262064375e-25,6.416619720929632e-25
