method,size,reward_temp,alpha,modes_mean,modes_std,mean_top_1000_R_mean,mean_top_1000_R_std,mean_top_1000_similarity_mean,mean_top_1000_similarity_std,spearman_corr_test_mean,spearman_corr_test_std
db_gfn,large,0.5,0.5,35.4,9.208691546577072,437695.3327940031,11484.607722449042,0.8323290622136928,0.0017286117929019365,0.9904242843379493,0.0018897519781300967
db_gfn,large,1.0,0.5,0.0,0.0,58086.53540664063,5216.945176467453,0.7632136136117381,0.001973580996824038,0.984226286472507,0.003840113488095733
db_gfn,large,2.0,0.5,0.0,0.0,4367.897018189033,262.4928041040887,0.7219827648486491,0.00049541221434284,0.9627826670866739,0.004120686307099207
db_gfn,medium,0.5,0.5,20.4,6.228964600958975,530369.7827859281,11276.623918046884,0.7830658785105368,0.002038741172946653,0.9953775875698764,0.0005713069551458363
db_gfn,medium,1.0,0.5,0.0,0.0,110427.3801921875,5337.251185679056,0.7102643646273231,0.001299632278427197,0.9928684966658128,0.004152088661267388
db_gfn,medium,2.0,0.5,0.0,0.0,10866.328955266461,590.7859557908038,0.6653741512866791,0.0006553425360678686,0.9813763946853937,0.008991548264578368
db_gfn,small,0.5,0.5,89.6,0.5477225575051661,0.22093003067528144,0.00015286020426243915,0.7376049612839294,0.00019414782063674222,0.9984437782103562,0.0009897591323983525
db_gfn,small,1.0,0.5,24.8,2.588435821108957,0.18446654962003234,0.0012191927797691343,0.694183113690378,0.0012723199720983656,0.9986060099978584,0.00036112840651950616
db_gfn,small,2.0,0.5,5.6,2.073644135332772,0.13281746836396363,0.0021412316262111406,0.6470674198136819,0.0015924827049536197,0.993391209104191,0.001817253925941619
fl_db_gfn,large,0.5,0.5,12932.2,1297.1506080636898,874968.4691381135,2683.05762331579,0.891535387212725,0.0024605643299704934,0.7969378796188482,0.01419250411628642
fl_db_gfn,large,1.0,0.5,247.6,147.16759154107265,593090.2406125,67865.24176786706,0.8526686980331576,0.007941831469963086,0.9023042567659392,0.019388476407551355
fl_db_gfn,large,2.0,0.5,0.8,0.8366600265340756,177285.24051837221,44777.470522738695,0.8113945597608303,0.008074181984764625,0.892016351482447,0.02324999723584304
fl_db_gfn,medium,0.5,0.5,1254.2,398.32863316613333,762543.0223069708,18174.095429677935,0.8367255345930756,0.00518340276957038,0.8832180633216081,0.017416509478955174
fl_db_gfn,medium,1.0,0.5,14.2,10.059821071967432,507462.73498125,47471.44951084295,0.7822985250144237,0.0058428884334491525,0.9679817526163363,0.007726713822171247
fl_db_gfn,medium,2.0,0.5,0.4,0.894427190999916,254175.70595770143,74676.34346423633,0.7460649554196037,0.007622952537782885,0.9469175946172532,0.02041327509860344
fl_db_gfn,small,0.5,0.5,90.0,0.0,0.2214666276893497,6.302371772813027e-06,0.7383765911105724,5.505500415802756e-06,0.9358388974147426,0.008555617732938206
fl_db_gfn,small,1.0,0.5,83.0,2.449489742783178,0.21803791280686857,0.0005828101265576067,0.734215009359603,0.0007167550782137335,0.9919987436129254,0.002447907138057044
fl_db_gfn,small,2.0,0.5,28.8,4.8166378315169185,0.18591266539578963,0.005471803118793232,0.7068009558932117,0.004702536211173512,0.987250793761698,0.006460461836255936
tb_gfn,large,0.5,0.5,0.2,0.44721359549995804,102171.52481846596,1369.2555551546498,0.7785693127564489,0.00042700655260997526,0.9905885141234574,0.002189068643225367
tb_gfn,large,1.0,0.5,0.0,0.0,11754.280200097657,230.90873428313353,0.7364430683737282,0.0003220101224845503,0.9958545568327498,0.00044938872461856985
tb_gfn,large,2.0,0.5,0.0,0.0,1663.1732336041503,29.144760359122163,0.711691440901086,0.00015449120474812653,0.9971078716752075,0.0003036837034921839
tb_gfn,medium,0.5,0.5,1.2,0.8366600265340756,274631.9627743679,2667.5721135042572,0.7372184266348082,0.0004717239435294277,0.9962145014102578,0.0005275188927616191
tb_gfn,medium,1.0,0.5,0.0,0.0,44854.40584804688,1480.9670458698738,0.6910623217465386,0.000837377078224258,0.9979225123170142,0.0004594331775023816
tb_gfn,medium,2.0,0.5,0.0,0.0,7846.568527035322,388.2754939655575,0.6604333739584045,0.0005260499943289536,0.9983428685305895,0.0003523507733904074
tb_gfn,small,0.5,0.5,86.6,2.3021728866442674,0.2195408578915566,0.00036951915179664867,0.7359150442259716,0.00046230191742230054,0.9992753161661458,0.0001599410813604608
tb_gfn,small,1.0,0.5,23.2,2.3874672772626644,0.17990509199798108,0.0013193122083346852,0.6892375679407703,0.0013231823045380697,0.9994770945998768,0.0001786781436859597
tb_gfn,small,2.0,0.5,5.0,2.8284271247461903,0.130434062670108,0.002222294659920472,0.6450928632991348,0.0016733698741217165,0.9994047711257725,0.00011152556270581719
